species,trap
CULEX PIPIENS,T086
CULEX SALINARIUS,T086
CULEX TERRITANS,T086
CULEX TARSALIS,T086
UNSPECIFIED CULEX,T086
CULEX ERRATICUS,T086
CULEX PIPIENS/RESTUANS,T091
CULEX RESTUANS,T091
CULEX PIPIENS,T091
CULEX SALINARIUS,T091
CULEX TERRITANS,T091
CULEX TARSALIS,T091
UNSPECIFIED CULEX,T091
CULEX ERRATICUS,T091
CULEX PIPIENS/RESTUANS,T094
CULEX RESTUANS,T094
CULEX PIPIENS,T094
CULEX SALINARIUS,T094
CULEX TERRITANS,T094
CULEX TARSALIS,T094
UNSPECIFIED CULEX,T094
CULEX ERRATICUS,T094
CULEX PIPIENS/RESTUANS,T096
CULEX RESTUANS,T096
CULEX PIPIENS,T096
CULEX SALINARIUS,T096
CULEX TERRITANS,T096
CULEX TARSALIS,T096
UNSPECIFIED CULEX,T096
CULEX ERRATICUS,T096
CULEX PIPIENS/RESTUANS,T129
CULEX RESTUANS,T129
CULEX PIPIENS,T129
CULEX SALINARIUS,T129
CULEX TERRITANS,T129
CULEX TARSALIS,T129
UNSPECIFIED CULEX,T129
CULEX ERRATICUS,T129
CULEX PIPIENS/RESTUANS,T143
CULEX RESTUANS,T143
CULEX PIPIENS,T143
CULEX SALINARIUS,T143
CULEX TERRITANS,T143
CULEX TARSALIS,T143
UNSPECIFIED CULEX,T143
CULEX ERRATICUS,T143
CULEX PIPIENS/RESTUANS,T148
CULEX RESTUANS,T148
CULEX PIPIENS,T148
CULEX SALINARIUS,T148
CULEX TERRITANS,T148
CULEX TARSALIS,T148
UNSPECIFIED CULEX,T148
CULEX ERRATICUS,T148
CULEX PIPIENS/RESTUANS,T153
CULEX RESTUANS,T153
CULEX PIPIENS,T153
CULEX SALINARIUS,T153
CULEX TERRITANS,T153
CULEX TARSALIS,T153
UNSPECIFIED CULEX,T153
CULEX ERRATICUS,T153
CULEX PIPIENS/RESTUANS,T159
CULEX RESTUANS,T159
CULEX PIPIENS,T159
CULEX SALINARIUS,T159
CULEX TERRITANS,T159
CULEX TARSALIS,T159
UNSPECIFIED CULEX,T159
CULEX ERRATICUS,T159
CULEX PIPIENS/RESTUANS,T009
CULEX RESTUANS,T009
CULEX PIPIENS,T009
CULEX SALINARIUS,T009
CULEX TERRITANS,T009
CULEX TARSALIS,T009
UNSPECIFIED CULEX,T009
CULEX ERRATICUS,T009
CULEX PIPIENS/RESTUANS,T011
CULEX RESTUANS,T011
CULEX PIPIENS,T011
CULEX SALINARIUS,T011
CULEX TERRITANS,T011
CULEX TARSALIS,T011
UNSPECIFIED CULEX,T011
CULEX ERRATICUS,T011
CULEX PIPIENS/RESTUANS,T016
CULEX RESTUANS,T016
CULEX PIPIENS,T016
CULEX SALINARIUS,T016
CULEX TERRITANS,T016
CULEX TARSALIS,T016
UNSPECIFIED CULEX,T016
CULEX ERRATICUS,T016
CULEX PIPIENS/RESTUANS,T019
CULEX RESTUANS,T019
CULEX PIPIENS,T019
CULEX SALINARIUS,T019
CULEX TERRITANS,T019
CULEX TARSALIS,T019
UNSPECIFIED CULEX,T019
CULEX ERRATICUS,T019
CULEX PIPIENS/RESTUANS,T025
CULEX RESTUANS,T025
CULEX PIPIENS,T025
CULEX SALINARIUS,T025
CULEX TERRITANS,T025
CULEX TARSALIS,T025
UNSPECIFIED CULEX,T025
CULEX ERRATICUS,T025
CULEX PIPIENS/RESTUANS,T028
CULEX RESTUANS,T028
CULEX PIPIENS,T028
CULEX SALINARIUS,T028
CULEX TERRITANS,T028
CULEX TARSALIS,T028
UNSPECIFIED CULEX,T028
CULEX ERRATICUS,T028
CULEX PIPIENS/RESTUANS,T031
CULEX RESTUANS,T031
CULEX PIPIENS,T031
CULEX SALINARIUS,T031
CULEX TERRITANS,T031
CULEX TARSALIS,T031
UNSPECIFIED CULEX,T031
CULEX ERRATICUS,T031
CULEX PIPIENS/RESTUANS,T033
CULEX RESTUANS,T033
CULEX PIPIENS,T033
CULEX SALINARIUS,T033
CULEX TERRITANS,T033
CULEX TARSALIS,T033
UNSPECIFIED CULEX,T033
CULEX ERRATICUS,T033
CULEX PIPIENS/RESTUANS,T089
CULEX RESTUANS,T089
CULEX PIPIENS,T089
CULEX SALINARIUS,T089
CULEX TERRITANS,T089
CULEX TARSALIS,T089
UNSPECIFIED CULEX,T089
CULEX ERRATICUS,T089
CULEX PIPIENS/RESTUANS,T090
CULEX RESTUANS,T090
CULEX PIPIENS,T090
CULEX SALINARIUS,T090
CULEX TERRITANS,T090
CULEX TARSALIS,T090
UNSPECIFIED CULEX,T090
CULEX ERRATICUS,T090
CULEX PIPIENS/RESTUANS,T092
CULEX RESTUANS,T092
CULEX PIPIENS,T092
CULEX SALINARIUS,T092
CULEX TERRITANS,T092
CULEX TARSALIS,T092
UNSPECIFIED CULEX,T092
CULEX ERRATICUS,T092
CULEX PIPIENS/RESTUANS,T135
CULEX RESTUANS,T135
CULEX PIPIENS,T135
CULEX SALINARIUS,T135
CULEX TERRITANS,T135
CULEX TARSALIS,T135
UNSPECIFIED CULEX,T135
CULEX ERRATICUS,T135
CULEX PIPIENS/RESTUANS,T141
CULEX RESTUANS,T141
CULEX PIPIENS,T141
CULEX SALINARIUS,T141
CULEX TERRITANS,T141
CULEX TARSALIS,T141
UNSPECIFIED CULEX,T141
CULEX ERRATICUS,T141
CULEX PIPIENS/RESTUANS,T142
CULEX RESTUANS,T142
CULEX PIPIENS,T142
CULEX SALINARIUS,T142
CULEX TERRITANS,T142
CULEX TARSALIS,T142
UNSPECIFIED CULEX,T142
CULEX ERRATICUS,T142
CULEX PIPIENS/RESTUANS,T145
CULEX RESTUANS,T145
CULEX PIPIENS,T145
CULEX SALINARIUS,T145
CULEX TERRITANS,T145
CULEX TARSALIS,T145
UNSPECIFIED CULEX,T145
CULEX ERRATICUS,T145
CULEX PIPIENS/RESTUANS,T146
CULEX RESTUANS,T146
CULEX PIPIENS,T146
CULEX SALINARIUS,T146
CULEX TERRITANS,T146
CULEX TARSALIS,T146
UNSPECIFIED CULEX,T146
CULEX ERRATICUS,T146
CULEX PIPIENS/RESTUANS,T147
CULEX RESTUANS,T147
CULEX PIPIENS,T147
CULEX SALINARIUS,T147
CULEX TERRITANS,T147
CULEX TARSALIS,T147
UNSPECIFIED CULEX,T147
CULEX ERRATICUS,T147
CULEX PIPIENS/RESTUANS,T149
CULEX RESTUANS,T149
CULEX PIPIENS,T149
CULEX SALINARIUS,T149
CULEX TERRITANS,T149
CULEX TARSALIS,T149
UNSPECIFIED CULEX,T149
CULEX ERRATICUS,T149
CULEX PIPIENS/RESTUANS,T150
CULEX RESTUANS,T150
CULEX PIPIENS,T150
CULEX SALINARIUS,T150
CULEX TERRITANS,T150
CULEX TARSALIS,T150
UNSPECIFIED CULEX,T150
CULEX ERRATICUS,T150
CULEX PIPIENS/RESTUANS,T151
CULEX RESTUANS,T151
CULEX PIPIENS,T151
CULEX SALINARIUS,T151
CULEX TERRITANS,T151
CULEX TARSALIS,T151
UNSPECIFIED CULEX,T151
CULEX ERRATICUS,T151
CULEX PIPIENS/RESTUANS,T152
CULEX RESTUANS,T152
CULEX PIPIENS,T152
CULEX SALINARIUS,T152
CULEX TERRITANS,T152
CULEX TARSALIS,T152
UNSPECIFIED CULEX,T152
CULEX ERRATICUS,T152
CULEX PIPIENS/RESTUANS,T154
CULEX RESTUANS,T154
CULEX PIPIENS,T154
CULEX SALINARIUS,T154
CULEX TERRITANS,T154
CULEX TARSALIS,T154
UNSPECIFIED CULEX,T154
CULEX ERRATICUS,T154
CULEX PIPIENS/RESTUANS,T158
CULEX RESTUANS,T158
CULEX PIPIENS,T158
CULEX SALINARIUS,T158
CULEX TERRITANS,T158
CULEX TARSALIS,T158
UNSPECIFIED CULEX,T158
CULEX ERRATICUS,T158
CULEX PIPIENS/RESTUANS,T162
CULEX RESTUANS,T162
CULEX PIPIENS,T162
CULEX SALINARIUS,T162
CULEX TERRITANS,T162
CULEX TARSALIS,T162
UNSPECIFIED CULEX,T162
CULEX ERRATICUS,T162
CULEX PIPIENS/RESTUANS,T218
CULEX RESTUANS,T218
CULEX PIPIENS,T218
CULEX SALINARIUS,T218
CULEX TERRITANS,T218
CULEX TARSALIS,T218
UNSPECIFIED CULEX,T218
CULEX ERRATICUS,T218
CULEX PIPIENS/RESTUANS,T220
CULEX RESTUANS,T220
CULEX PIPIENS,T220
CULEX SALINARIUS,T220
CULEX TERRITANS,T220
CULEX TARSALIS,T220
UNSPECIFIED CULEX,T220
CULEX ERRATICUS,T220
CULEX PIPIENS/RESTUANS,T001
CULEX RESTUANS,T001
CULEX PIPIENS,T001
CULEX SALINARIUS,T001
CULEX TERRITANS,T001
CULEX TARSALIS,T001
UNSPECIFIED CULEX,T001
CULEX ERRATICUS,T001
CULEX PIPIENS/RESTUANS,T003
CULEX RESTUANS,T003
CULEX PIPIENS,T003
CULEX SALINARIUS,T003
CULEX TERRITANS,T003
CULEX TARSALIS,T003
UNSPECIFIED CULEX,T003
CULEX ERRATICUS,T003
CULEX PIPIENS/RESTUANS,T006
CULEX RESTUANS,T006
CULEX PIPIENS,T006
CULEX SALINARIUS,T006
CULEX TERRITANS,T006
CULEX TARSALIS,T006
UNSPECIFIED CULEX,T006
CULEX ERRATICUS,T006
CULEX PIPIENS/RESTUANS,T008
CULEX RESTUANS,T008
CULEX PIPIENS,T008
CULEX SALINARIUS,T008
CULEX TERRITANS,T008
CULEX TARSALIS,T008
UNSPECIFIED CULEX,T008
CULEX ERRATICUS,T008
CULEX PIPIENS/RESTUANS,T012
CULEX RESTUANS,T012
CULEX PIPIENS,T012
CULEX SALINARIUS,T012
CULEX TERRITANS,T012
CULEX TARSALIS,T012
UNSPECIFIED CULEX,T012
CULEX ERRATICUS,T012
CULEX PIPIENS/RESTUANS,T034
CULEX RESTUANS,T034
CULEX PIPIENS,T034
CULEX SALINARIUS,T034
CULEX TERRITANS,T034
CULEX TARSALIS,T034
UNSPECIFIED CULEX,T034
CULEX ERRATICUS,T034
CULEX PIPIENS/RESTUANS,T037
CULEX RESTUANS,T037
CULEX PIPIENS,T037
CULEX SALINARIUS,T037
CULEX TERRITANS,T037
CULEX TARSALIS,T037
UNSPECIFIED CULEX,T037
CULEX ERRATICUS,T037
CULEX PIPIENS/RESTUANS,T040
CULEX RESTUANS,T040
CULEX PIPIENS,T040
CULEX SALINARIUS,T040
CULEX TERRITANS,T040
CULEX TARSALIS,T040
UNSPECIFIED CULEX,T040
CULEX ERRATICUS,T040
CULEX PIPIENS/RESTUANS,T043
CULEX RESTUANS,T043
CULEX PIPIENS,T043
CULEX SALINARIUS,T043
CULEX TERRITANS,T043
CULEX TARSALIS,T043
UNSPECIFIED CULEX,T043
CULEX ERRATICUS,T043
CULEX PIPIENS/RESTUANS,T047
CULEX RESTUANS,T047
CULEX PIPIENS,T047
CULEX SALINARIUS,T047
CULEX TERRITANS,T047
CULEX TARSALIS,T047
UNSPECIFIED CULEX,T047
CULEX ERRATICUS,T047
CULEX PIPIENS/RESTUANS,T051
CULEX RESTUANS,T051
CULEX PIPIENS,T051
CULEX SALINARIUS,T051
CULEX TERRITANS,T051
CULEX TARSALIS,T051
UNSPECIFIED CULEX,T051
CULEX ERRATICUS,T051
CULEX PIPIENS/RESTUANS,T085
CULEX RESTUANS,T085
CULEX PIPIENS,T085
CULEX SALINARIUS,T085
CULEX TERRITANS,T085
CULEX TARSALIS,T085
UNSPECIFIED CULEX,T085
CULEX ERRATICUS,T085
CULEX PIPIENS/RESTUANS,T088
CULEX RESTUANS,T088
CULEX PIPIENS,T088
CULEX SALINARIUS,T088
CULEX TERRITANS,T088
CULEX TARSALIS,T088
UNSPECIFIED CULEX,T088
CULEX ERRATICUS,T088
CULEX PIPIENS/RESTUANS,T161
CULEX RESTUANS,T161
CULEX PIPIENS,T161
CULEX SALINARIUS,T161
CULEX TERRITANS,T161
CULEX TARSALIS,T161
UNSPECIFIED CULEX,T161
CULEX ERRATICUS,T161
CULEX PIPIENS/RESTUANS,T219
CULEX RESTUANS,T219
CULEX PIPIENS,T219
CULEX SALINARIUS,T219
CULEX TERRITANS,T219
CULEX TARSALIS,T219
UNSPECIFIED CULEX,T219
CULEX ERRATICUS,T219
CULEX PIPIENS/RESTUANS,T013
CULEX RESTUANS,T013
CULEX PIPIENS,T013
CULEX SALINARIUS,T013
CULEX TERRITANS,T013
CULEX TARSALIS,T013
UNSPECIFIED CULEX,T013
CULEX ERRATICUS,T013
CULEX PIPIENS/RESTUANS,T014
CULEX RESTUANS,T014
CULEX PIPIENS,T014
CULEX SALINARIUS,T014
CULEX TERRITANS,T014
CULEX TARSALIS,T014
UNSPECIFIED CULEX,T014
CULEX ERRATICUS,T014
CULEX PIPIENS/RESTUANS,T018
CULEX RESTUANS,T018
CULEX PIPIENS,T018
CULEX SALINARIUS,T018
CULEX TERRITANS,T018
CULEX TARSALIS,T018
UNSPECIFIED CULEX,T018
CULEX ERRATICUS,T018
CULEX PIPIENS/RESTUANS,T030
CULEX RESTUANS,T030
CULEX PIPIENS,T030
CULEX SALINARIUS,T030
CULEX TERRITANS,T030
CULEX TARSALIS,T030
UNSPECIFIED CULEX,T030
CULEX ERRATICUS,T030
CULEX PIPIENS/RESTUANS,T084
CULEX RESTUANS,T084
CULEX PIPIENS,T084
CULEX SALINARIUS,T084
CULEX TERRITANS,T084
CULEX TARSALIS,T084
UNSPECIFIED CULEX,T084
CULEX ERRATICUS,T084
CULEX PIPIENS/RESTUANS,T144
CULEX RESTUANS,T144
CULEX PIPIENS,T144
CULEX SALINARIUS,T144
CULEX TERRITANS,T144
CULEX TARSALIS,T144
UNSPECIFIED CULEX,T144
CULEX ERRATICUS,T144
CULEX PIPIENS/RESTUANS,T160
CULEX RESTUANS,T160
CULEX PIPIENS,T160
CULEX SALINARIUS,T160
CULEX TERRITANS,T160
CULEX TARSALIS,T160
UNSPECIFIED CULEX,T160
CULEX ERRATICUS,T160
CULEX PIPIENS/RESTUANS,T005
CULEX RESTUANS,T005
CULEX PIPIENS,T005
CULEX SALINARIUS,T005
CULEX TERRITANS,T005
CULEX TARSALIS,T005
UNSPECIFIED CULEX,T005
CULEX ERRATICUS,T005
CULEX PIPIENS/RESTUANS,T017
CULEX RESTUANS,T017
CULEX PIPIENS,T017
CULEX SALINARIUS,T017
CULEX TERRITANS,T017
CULEX TARSALIS,T017
UNSPECIFIED CULEX,T017
CULEX ERRATICUS,T017
CULEX PIPIENS/RESTUANS,T044
CULEX RESTUANS,T044
CULEX PIPIENS,T044
CULEX SALINARIUS,T044
CULEX TERRITANS,T044
CULEX TARSALIS,T044
UNSPECIFIED CULEX,T044
CULEX ERRATICUS,T044
CULEX PIPIENS/RESTUANS,T095
CULEX RESTUANS,T095
CULEX PIPIENS,T095
CULEX SALINARIUS,T095
CULEX TERRITANS,T095
CULEX TARSALIS,T095
UNSPECIFIED CULEX,T095
CULEX ERRATICUS,T095
CULEX PIPIENS/RESTUANS,T004
CULEX RESTUANS,T004
CULEX PIPIENS,T004
CULEX SALINARIUS,T004
CULEX TERRITANS,T004
CULEX TARSALIS,T004
UNSPECIFIED CULEX,T004
CULEX ERRATICUS,T004
CULEX PIPIENS/RESTUANS,T035
CULEX RESTUANS,T035
CULEX PIPIENS,T035
CULEX SALINARIUS,T035
CULEX TERRITANS,T035
CULEX TARSALIS,T035
UNSPECIFIED CULEX,T035
CULEX ERRATICUS,T035
CULEX PIPIENS/RESTUANS,T036
CULEX RESTUANS,T036
CULEX PIPIENS,T036
CULEX SALINARIUS,T036
CULEX TERRITANS,T036
CULEX TARSALIS,T036
UNSPECIFIED CULEX,T036
CULEX ERRATICUS,T036
CULEX PIPIENS/RESTUANS,T039
CULEX RESTUANS,T039
CULEX PIPIENS,T039
CULEX SALINARIUS,T039
CULEX TERRITANS,T039
CULEX TARSALIS,T039
UNSPECIFIED CULEX,T039
CULEX ERRATICUS,T039
CULEX PIPIENS/RESTUANS,T060
CULEX RESTUANS,T060
CULEX PIPIENS,T060
CULEX SALINARIUS,T060
CULEX TERRITANS,T060
CULEX TARSALIS,T060
UNSPECIFIED CULEX,T060
CULEX ERRATICUS,T060
CULEX PIPIENS/RESTUANS,T061
CULEX RESTUANS,T061
CULEX PIPIENS,T061
CULEX SALINARIUS,T061
CULEX TERRITANS,T061
CULEX TARSALIS,T061
UNSPECIFIED CULEX,T061
CULEX ERRATICUS,T061
CULEX PIPIENS/RESTUANS,T062
CULEX RESTUANS,T062
CULEX PIPIENS,T062
CULEX SALINARIUS,T062
CULEX TERRITANS,T062
CULEX TARSALIS,T062
UNSPECIFIED CULEX,T062
CULEX ERRATICUS,T062
CULEX PIPIENS/RESTUANS,T065
CULEX RESTUANS,T065
CULEX PIPIENS,T065
CULEX SALINARIUS,T065
CULEX TERRITANS,T065
CULEX TARSALIS,T065
UNSPECIFIED CULEX,T065
CULEX ERRATICUS,T065
CULEX PIPIENS/RESTUANS,T066
CULEX RESTUANS,T066
CULEX PIPIENS,T066
CULEX SALINARIUS,T066
CULEX TERRITANS,T066
CULEX TARSALIS,T066
UNSPECIFIED CULEX,T066
CULEX ERRATICUS,T066
CULEX PIPIENS/RESTUANS,T067
CULEX RESTUANS,T067
CULEX PIPIENS,T067
CULEX SALINARIUS,T067
CULEX TERRITANS,T067
CULEX TARSALIS,T067
UNSPECIFIED CULEX,T067
CULEX ERRATICUS,T067
CULEX PIPIENS/RESTUANS,T069
CULEX RESTUANS,T069
CULEX PIPIENS,T069
CULEX SALINARIUS,T069
CULEX TERRITANS,T069
CULEX TARSALIS,T069
UNSPECIFIED CULEX,T069
CULEX ERRATICUS,T069
CULEX PIPIENS/RESTUANS,T070
CULEX RESTUANS,T070
CULEX PIPIENS,T070
CULEX SALINARIUS,T070
CULEX TERRITANS,T070
CULEX TARSALIS,T070
UNSPECIFIED CULEX,T070
CULEX ERRATICUS,T070
CULEX PIPIENS/RESTUANS,T071
CULEX RESTUANS,T071
CULEX PIPIENS,T071
CULEX SALINARIUS,T071
CULEX TERRITANS,T071
CULEX TARSALIS,T071
UNSPECIFIED CULEX,T071
CULEX ERRATICUS,T071
CULEX PIPIENS/RESTUANS,T073
CULEX RESTUANS,T073
CULEX PIPIENS,T073
CULEX SALINARIUS,T073
CULEX TERRITANS,T073
CULEX TARSALIS,T073
UNSPECIFIED CULEX,T073
CULEX ERRATICUS,T073
CULEX PIPIENS/RESTUANS,T074
CULEX RESTUANS,T074
CULEX PIPIENS,T074
CULEX SALINARIUS,T074
CULEX TERRITANS,T074
CULEX TARSALIS,T074
UNSPECIFIED CULEX,T074
CULEX ERRATICUS,T074
CULEX PIPIENS/RESTUANS,T075
CULEX RESTUANS,T075
CULEX PIPIENS,T075
CULEX SALINARIUS,T075
CULEX TERRITANS,T075
CULEX TARSALIS,T075
UNSPECIFIED CULEX,T075
CULEX ERRATICUS,T075
CULEX PIPIENS/RESTUANS,T076
CULEX RESTUANS,T076
CULEX PIPIENS,T076
CULEX SALINARIUS,T076
CULEX TERRITANS,T076
CULEX TARSALIS,T076
UNSPECIFIED CULEX,T076
CULEX ERRATICUS,T076
CULEX PIPIENS/RESTUANS,T077
CULEX RESTUANS,T077
CULEX PIPIENS,T077
CULEX SALINARIUS,T077
CULEX TERRITANS,T077
CULEX TARSALIS,T077
UNSPECIFIED CULEX,T077
CULEX ERRATICUS,T077
CULEX PIPIENS/RESTUANS,T079
CULEX RESTUANS,T079
CULEX PIPIENS,T079
CULEX SALINARIUS,T079
CULEX TERRITANS,T079
CULEX TARSALIS,T079
UNSPECIFIED CULEX,T079
CULEX ERRATICUS,T079
CULEX PIPIENS/RESTUANS,T080
CULEX RESTUANS,T080
CULEX PIPIENS,T080
CULEX SALINARIUS,T080
CULEX TERRITANS,T080
CULEX TARSALIS,T080
UNSPECIFIED CULEX,T080
CULEX ERRATICUS,T080
CULEX PIPIENS/RESTUANS,T081
CULEX RESTUANS,T081
CULEX PIPIENS,T081
CULEX SALINARIUS,T081
CULEX TERRITANS,T081
CULEX TARSALIS,T081
UNSPECIFIED CULEX,T081
CULEX ERRATICUS,T081
CULEX PIPIENS/RESTUANS,T082
CULEX RESTUANS,T082
CULEX PIPIENS,T082
CULEX SALINARIUS,T082
CULEX TERRITANS,T082
CULEX TARSALIS,T082
UNSPECIFIED CULEX,T082
CULEX ERRATICUS,T082
CULEX PIPIENS/RESTUANS,T083
CULEX RESTUANS,T083
CULEX PIPIENS,T083
CULEX SALINARIUS,T083
CULEX TERRITANS,T083
CULEX TARSALIS,T083
UNSPECIFIED CULEX,T083
CULEX ERRATICUS,T083
CULEX PIPIENS/RESTUANS,T114
CULEX RESTUANS,T114
CULEX PIPIENS,T114
CULEX SALINARIUS,T114
CULEX TERRITANS,T114
CULEX TARSALIS,T114
UNSPECIFIED CULEX,T114
CULEX ERRATICUS,T114
CULEX PIPIENS/RESTUANS,T155
CULEX RESTUANS,T155
CULEX PIPIENS,T155
CULEX SALINARIUS,T155
CULEX TERRITANS,T155
CULEX TARSALIS,T155
UNSPECIFIED CULEX,T155
CULEX ERRATICUS,T155
CULEX PIPIENS/RESTUANS,T063
CULEX RESTUANS,T063
CULEX PIPIENS,T063
CULEX SALINARIUS,T063
CULEX TERRITANS,T063
CULEX TARSALIS,T063
UNSPECIFIED CULEX,T063
CULEX ERRATICUS,T063
CULEX PIPIENS/RESTUANS,T115
CULEX RESTUANS,T115
CULEX PIPIENS,T115
CULEX SALINARIUS,T115
CULEX TERRITANS,T115
CULEX TARSALIS,T115
UNSPECIFIED CULEX,T115
CULEX ERRATICUS,T115
CULEX PIPIENS/RESTUANS,T138
CULEX RESTUANS,T138
CULEX PIPIENS,T138
CULEX SALINARIUS,T138
CULEX TERRITANS,T138
CULEX TARSALIS,T138
UNSPECIFIED CULEX,T138
CULEX ERRATICUS,T138
CULEX PIPIENS/RESTUANS,T200
CULEX RESTUANS,T200
CULEX PIPIENS,T200
CULEX SALINARIUS,T200
CULEX TERRITANS,T200
CULEX TARSALIS,T200
UNSPECIFIED CULEX,T200
CULEX ERRATICUS,T200
CULEX PIPIENS/RESTUANS,T206
CULEX RESTUANS,T206
CULEX PIPIENS,T206
CULEX SALINARIUS,T206
CULEX TERRITANS,T206
CULEX TARSALIS,T206
UNSPECIFIED CULEX,T206
CULEX ERRATICUS,T206
CULEX PIPIENS/RESTUANS,T209
CULEX RESTUANS,T209
CULEX PIPIENS,T209
CULEX SALINARIUS,T209
CULEX TERRITANS,T209
CULEX TARSALIS,T209
UNSPECIFIED CULEX,T209
CULEX ERRATICUS,T209
CULEX PIPIENS/RESTUANS,T212
CULEX RESTUANS,T212
CULEX PIPIENS,T212
CULEX SALINARIUS,T212
CULEX TERRITANS,T212
CULEX TARSALIS,T212
UNSPECIFIED CULEX,T212
CULEX ERRATICUS,T212
CULEX PIPIENS/RESTUANS,T215
CULEX RESTUANS,T215
CULEX PIPIENS,T215
CULEX SALINARIUS,T215
CULEX TERRITANS,T215
CULEX TARSALIS,T215
UNSPECIFIED CULEX,T215
CULEX ERRATICUS,T215
CULEX PIPIENS/RESTUANS,T107
CULEX RESTUANS,T107
CULEX PIPIENS,T107
CULEX SALINARIUS,T107
CULEX TERRITANS,T107
CULEX TARSALIS,T107
UNSPECIFIED CULEX,T107
CULEX ERRATICUS,T107
CULEX PIPIENS/RESTUANS,T128
CULEX RESTUANS,T128
CULEX PIPIENS,T128
CULEX SALINARIUS,T128
CULEX TERRITANS,T128
CULEX TARSALIS,T128
UNSPECIFIED CULEX,T128
CULEX ERRATICUS,T128
CULEX PIPIENS/RESTUANS,T072
CULEX RESTUANS,T072
CULEX PIPIENS,T072
CULEX SALINARIUS,T072
CULEX TERRITANS,T072
CULEX TARSALIS,T072
UNSPECIFIED CULEX,T072
CULEX ERRATICUS,T072
CULEX PIPIENS/RESTUANS,T078
CULEX RESTUANS,T078
CULEX PIPIENS,T078
CULEX SALINARIUS,T078
CULEX TERRITANS,T078
CULEX TARSALIS,T078
UNSPECIFIED CULEX,T078
CULEX ERRATICUS,T078
CULEX PIPIENS/RESTUANS,T097
CULEX RESTUANS,T097
CULEX PIPIENS,T097
CULEX SALINARIUS,T097
CULEX TERRITANS,T097
CULEX TARSALIS,T097
UNSPECIFIED CULEX,T097
CULEX ERRATICUS,T097
CULEX PIPIENS/RESTUANS,T099
CULEX RESTUANS,T099
CULEX PIPIENS,T099
CULEX SALINARIUS,T099
CULEX TERRITANS,T099
CULEX TARSALIS,T099
UNSPECIFIED CULEX,T099
CULEX ERRATICUS,T099
CULEX PIPIENS/RESTUANS,T100
CULEX RESTUANS,T100
CULEX PIPIENS,T100
CULEX SALINARIUS,T100
CULEX TERRITANS,T100
CULEX TARSALIS,T100
UNSPECIFIED CULEX,T100
CULEX ERRATICUS,T100
CULEX PIPIENS/RESTUANS,T102
CULEX RESTUANS,T102
CULEX PIPIENS,T102
CULEX SALINARIUS,T102
CULEX TERRITANS,T102
CULEX TARSALIS,T102
UNSPECIFIED CULEX,T102
CULEX ERRATICUS,T102
CULEX PIPIENS/RESTUANS,T103
CULEX RESTUANS,T103
CULEX PIPIENS,T103
CULEX SALINARIUS,T103
CULEX TERRITANS,T103
CULEX TARSALIS,T103
UNSPECIFIED CULEX,T103
CULEX ERRATICUS,T103
CULEX PIPIENS/RESTUANS,T027
CULEX RESTUANS,T027
CULEX PIPIENS,T027
CULEX SALINARIUS,T027
CULEX TERRITANS,T027
CULEX TARSALIS,T027
UNSPECIFIED CULEX,T027
CULEX ERRATICUS,T027
CULEX PIPIENS/RESTUANS,T156
CULEX RESTUANS,T156
CULEX PIPIENS,T156
CULEX SALINARIUS,T156
CULEX TERRITANS,T156
CULEX TARSALIS,T156
UNSPECIFIED CULEX,T156
CULEX ERRATICUS,T156
CULEX PIPIENS/RESTUANS,T157
CULEX RESTUANS,T157
CULEX PIPIENS,T157
CULEX SALINARIUS,T157
CULEX TERRITANS,T157
CULEX TARSALIS,T157
UNSPECIFIED CULEX,T157
CULEX ERRATICUS,T157
CULEX PIPIENS/RESTUANS,T221
CULEX RESTUANS,T221
CULEX PIPIENS,T221
CULEX SALINARIUS,T221
CULEX TERRITANS,T221
CULEX TARSALIS,T221
UNSPECIFIED CULEX,T221
CULEX ERRATICUS,T221
CULEX PIPIENS/RESTUANS,T009
CULEX RESTUANS,T009
CULEX PIPIENS,T009
CULEX SALINARIUS,T009
CULEX TERRITANS,T009
CULEX TARSALIS,T009
UNSPECIFIED CULEX,T009
CULEX ERRATICUS,T009
CULEX PIPIENS/RESTUANS,T900
CULEX RESTUANS,T900
CULEX PIPIENS,T900
CULEX SALINARIUS,T900
CULEX TERRITANS,T900
CULEX TARSALIS,T900
UNSPECIFIED CULEX,T900
CULEX ERRATICUS,T900
CULEX PIPIENS/RESTUANS,T903
CULEX RESTUANS,T903
CULEX PIPIENS,T903
CULEX SALINARIUS,T903
CULEX TERRITANS,T903
CULEX TARSALIS,T903
UNSPECIFIED CULEX,T903
CULEX ERRATICUS,T903
CULEX PIPIENS/RESTUANS,T090A
CULEX RESTUANS,T090A
CULEX PIPIENS,T090A
CULEX SALINARIUS,T090A
CULEX TERRITANS,T090A
CULEX TARSALIS,T090A
UNSPECIFIED CULEX,T090A
CULEX ERRATICUS,T090A
CULEX PIPIENS/RESTUANS,T090B
CULEX RESTUANS,T090B
CULEX PIPIENS,T090B
CULEX SALINARIUS,T090B
CULEX TERRITANS,T090B
CULEX TARSALIS,T090B
UNSPECIFIED CULEX,T090B
CULEX ERRATICUS,T090B
CULEX PIPIENS/RESTUANS,T090C
CULEX RESTUANS,T090C
CULEX PIPIENS,T090C
CULEX SALINARIUS,T090C
CULEX TERRITANS,T090C
CULEX TARSALIS,T090C
UNSPECIFIED CULEX,T090C
